Card ID,Owned,Card Name,Set,Series,Release Date,Number,Rarity,Market Price,eBay,Bulbapedia
sm75-67,,Dragonite-GX,Dragon Majesty,Sun & Moon,2018/09/07,67,Rare Ultra,$60.90,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite-GX+Dragon+Majesty+67,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite-GX+Dragon+Majesty+67&ns0=1
sm9-119,,Dragonite,Team Up,Sun & Moon,2019/02/01,119,Rare Holo,$5.81,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+Team+Up+119,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+Team+Up+119&ns0=1
sm11-151,,Dragonite,Unified Minds,Sun & Moon,2019/08/02,151,Rare,$4.76,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+Unified+Minds+151,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+Unified+Minds+151&ns0=1
sm11-152,,Dragonite-GX,Unified Minds,Sun & Moon,2019/08/02,152,Rare Holo GX,$16.99,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite-GX+Unified+Minds+152,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite-GX+Unified+Minds+152&ns0=1
sm11-229,,Dragonite-GX,Unified Minds,Sun & Moon,2019/08/02,229,Rare Ultra,$42.91,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite-GX+Unified+Minds+229,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite-GX+Unified+Minds+229&ns0=1
sm11-248,,Dragonite-GX,Unified Minds,Sun & Moon,2019/08/02,248,Rare Rainbow,$121.38,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite-GX+Unified+Minds+248,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite-GX+Unified+Minds+248&ns0=1
swshp-SWSH154,,Dragonite V,SWSH Black Star Promos,Sword & Shield,2019/11/15,SWSH154,Promo,$6.52,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+V+SWSH+Black+Star+Promos+SWSH154,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+V+SWSH+Black+Star+Promos+SWSH154&ns0=1
swshp-SWSH235,,Dragonite V,SWSH Black Star Promos,Sword & Shield,2019/11/15,SWSH235,Promo,$7.62,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+V+SWSH+Black+Star+Promos+SWSH235,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+V+SWSH+Black+Star+Promos+SWSH235&ns0=1
swshp-SWSH236,,Dragonite VSTAR,SWSH Black Star Promos,Sword & Shield,2019/11/15,SWSH236,Promo,$5.51,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+VSTAR+SWSH+Black+Star+Promos+SWSH236,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+VSTAR+SWSH+Black+Star+Promos+SWSH236&ns0=1
swsh7-191,,Dragonite V,Evolving Skies,Sword & Shield,2021/08/27,191,Rare Ultra,$37.93,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+V+Evolving+Skies+191,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+V+Evolving+Skies+191&ns0=1
swsh7-192,,Dragonite V,Evolving Skies,Sword & Shield,2021/08/27,192,Rare Ultra,$503.31,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+V+Evolving+Skies+192,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+V+Evolving+Skies+192&ns0=1
pgo-49,,Dragonite V,Pokémon GO,Sword & Shield,2022/07/01,49,Rare Holo V,$4.94,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+V+Pok%C3%A9mon+GO+49,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+V+Pok%C3%A9mon+GO+49&ns0=1
